course_name,platform,skills_taught,course_url,difficulty,rating,predicted_rating_rf,predicted_rating_catboost
Becoming a Cybersecurity Consultant,EIT Digital,"['Cybersecurity', 'cybersecurity threats', 'cybersecurity consultant', 'economics of cybersecurity', 'technologies impacting cybersecurity']",https://www.coursera.org/learn/becoming-a-cybersecurity-consultant,Intermediate level,0.0,1.7145,1.0903673404765764
Product Analytics and AI,University of Virginia,"['Software Development', 'Product Management', 'Agile Software Development']",https://www.coursera.org/learn/uva-darden-agile-analytics,Beginner level,4.7,4.656500000000014,4.916544617477136
Linux for Cloud and DevOps Engineers,Packt,"['DevOps automation', 'AWS Linux', 'Linux EC2', 'Linux for DevOps', 'DevOps Automation', 'Linux system administration']",https://www.coursera.org/learn/packt-linux-for-cloud-and-devops-engineers-7plvl,Beginner level,0.0,0.07200000000000001,0.9821209126199171
Introduction to Tableau,Tableau Learning Partner,"['Preprocess Data', 'Data Visualization Fundamentals', 'Data Restructuring']",https://www.coursera.org/learn/introduction-to-tableau,Beginner level,4.8,4.475499999999994,4.361242317647927
How to Modernize applications with IBM CICS,IBM,"['Customer Information Control System (CICS)', 'Application Programming Interfaces (API)', 'IT Architect', 'IBM Z', 'Developer']",https://www.coursera.org/learn/modernize-applications-ibm-cics,Intermediate level,0.0,1.7485000000000002,1.060227684254841
Improving Leadership & Governance in Nonprofit Organizations Specialization,The State University of New York,"['Onboarding', 'Strategic Leadership', 'Management', 'Corporate Governance', 'Leadership Development']",https://www.coursera.org/specializations/nonprofit,Beginner level,4.5,4.4385,4.861965264177623
Database Management Essentials,University of Colorado System,"['Database (DB) Design', 'Entity–Relationship (E-R) Model', 'Database (DBMS)', 'SQL']",https://www.coursera.org/learn/database-management,Intermediate level,4.6,4.545000000000012,4.467680766203138
"Pharmacy Syringes, Compounding Medications, & Communication",MedCerts,"['Effective Communication in Pharmacy', 'Compounding Regulations Compliance', 'Patient-Centric Empathy', 'Insulin Administration', 'Medication Compounding Techniques']",https://www.coursera.org/learn/pharmacy-syringes-compounding-medications-and-communication,Intermediate level,0.0,1.4309999999999996,1.0877632513598208
Comfort in Buildings,L&T EduTech,['Design of sustainable building using Indian green building rating systems (IGBC and GRIHA)'],https://www.coursera.org/learn/comfort-in-buildings,Intermediate level,4.8,3.8449999999999935,4.298937688422511
Healthcare Data Models,"University of California, Davis",[],https://www.coursera.org/learn/healthcare-data-models,Intermediate level,4.6,4.00800000000001,4.3244803887114625
AWS: Security and Cost Optimization strategies,Whizlabs,['AWS pay-as-you-go model'],https://www.coursera.org/learn/aws-security-and-cost-optimization-strategies,Beginner level,0.0,3.620999999999999,3.34907462493943
FL Studio Basics,Berklee,"['Music composition', 'Music production', 'Sampling Audio', 'Mixing']",https://www.coursera.org/learn/fl-studio-basics,Intermediate level,4.5,4.465500000000001,4.169227368735906
Transgender Medicine for General Medical Providers,Icahn School of Medicine at Mount Sinai,[],https://www.coursera.org/learn/transgender-medicine,Beginner level,4.8,4.405999999999993,4.072341666461257
Introduction to Cosmetic and Skincare Science,Olay,"['Hair Care', 'Skin Care', 'Suncare', 'Safety Regulations', 'Cosmetic Ingredients']",https://www.coursera.org/learn/introduction-to-cosmetic-and-skin-care-science,Beginner level,4.7,4.2315000000000085,4.471895810366836
Wilderness First Aid - Environmental Emergencies,University of Colorado System,[],https://www.coursera.org/learn/wilderness-first-aid-environmental-emergencies,Beginner level,4.9,4.812499999999996,4.732370825794899
Python Basics: Selection and Iteration,Codio,"['Computer Science', 'Python Programming', 'Iteration', 'variable (computer science)', 'Conditionals (Computer Science)']",https://www.coursera.org/learn/codio-python-basics,Beginner level,4.6,4.349500000000008,4.496692968035376
"Make the Sale: Build, Launch, and Manage E-commerce Stores",Google,"['E-Commerce Strategy', 'Seasonality', 'E-commerce platforms', 'Fulfillment and delivery', 'Website Structure']",https://www.coursera.org/learn/make-the-sale,Beginner level,4.8,4.77649999999999,4.404444771506
Algal Blooms and Proliferations,University of California San Diego,[],https://www.coursera.org/learn/harmful-algal-blooms,Intermediate level,0.0,1.1759999999999997,0.8559215630931951
IBM Back-End Development Professional Certificate,IBM,"['Django (Web Framework)', 'Mongodb', 'Docker', 'Flask', 'Representational State Transfer (REST)', 'Object Relational Mapping (ORM)', 'Relational Database (RDBMS)', 'SQL', 'Back-End Applications', 'Observability']",https://www.coursera.org/professional-certificates/ibm-backend-development,Beginner level,4.7,4.629000000000013,4.235753212902111
"Flutter and Dart: Developing iOS, Android, and Mobile Apps",IBM,"['IOS Applications', 'Software Development', 'Android Apps']",https://www.coursera.org/learn/flutter-and-dart-developing-ios-android-mobile-apps,Beginner level,0.0,1.7750000000000006,1.093220276781258
Christian Virtues for Spiritual Growth,Duke University,"['Meditation', 'Spiritual Growth', 'Applied Ethics', 'theology', 'Philosophy Of Religion']",https://www.coursera.org/learn/christian-theology-virtues,Beginner level,0.0,1.5300000000000002,0.7132953553494348
Large Marine Ecosystems: Assessment and Management,University of Cape Town,"['ecosystem-based management', 'sustainable development', 'multi-sector assessment and management']",https://www.coursera.org/learn/large-marine-ecosystems,Intermediate level,4.8,4.713499999999993,4.474334764514111
Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization,Microsoft,"['Describe how to work with relational data on Azure', 'Describe core data concepts', 'Describe an analytics workload on Azure', 'Describe how to work with non-relational data on Azure', 'Describe how to work with relational data on Azure', 'Describe core data concepts', 'Describe an analytics workload on Azure', 'Describe how to work with non-relational data on Azure']",https://www.coursera.org/specializations/microsoft-azure-dp-900-data-fundamentals,Beginner level,4.6,3.5525000000000073,4.13015847847603
Pentesting Fundamentals for Beginners,Packt,"['Cyber Security', 'Ethical Hacking', 'Pentesting', 'Kali Linux', 'CompTIA Cybersecurity Analyst (CySA+)']",https://www.coursera.org/learn/packt-pentesting-fundamentals-for-beginners-ywdlw,Intermediate level,0.0,0.024,-0.4411067756369542
Reality Bites: Introduction to metaphysics,Erasmus University Rotterdam,[],https://www.coursera.org/learn/metaphysics,Intermediate level,4.5,4.096500000000001,4.396076656715286
Principles of Photo Composition and Digital Image Post-Production,Michigan State University,[],https://www.coursera.org/learn/photo-composition,None,4.7,4.110000000000008,4.437056821761005
Data Mining Methods,University of Colorado Boulder,"['outlier analysis', 'classification', 'model evaluation', 'frequent pattern analysis', 'clustering']",https://www.coursera.org/learn/data-mining-methods,Intermediate level,4.0,4.0735000000000054,3.967513556547129
The City and You: Find Your Best Place,University of Toronto,[],https://www.coursera.org/learn/city-and-you-find-best-place,Beginner level,4.6,4.598500000000012,4.734148782732147
Advanced Topics in Derivative Pricing,Columbia University,"['Volatility Smile', 'Computer Programming', 'Implied Volatility', 'Synthetic Collateralised Debt Obligation (CDO)', 'Replicating Strategy']",https://www.coursera.org/learn/financial-engineering-advancedtopics,Intermediate level,4.4,4.133499999999991,4.279957049944041
"Sustainable Regional Principles, Planning and Transportation",Johns Hopkins University,"['Regional Planning', 'Efficient Transportation Systems', 'Regional Park Planning', 'Zoning Strategies', 'Environmental Protection']",https://www.coursera.org/learn/sustainable-regional-principles-planning-and-transportation,Intermediate level,4.5,4.346000000000002,4.357175978796566
"Brand Management: Aligning Business, Brand and Behaviour",University of London,"['Corporate Branding', 'Brand Marketing', 'Brand Management', 'Brand Identity']",https://www.coursera.org/learn/brand,Beginner level,4.9,4.701500000000007,4.31963012731331
Fundamentals of Software Architecture for Big Data,University of Colorado Boulder,"['Software Engineering', 'Distributed Computing', 'Big Data', 'Microservices', 'Real-time Systems']",https://www.coursera.org/learn/software-architecture-for-big-data-fundamentals,Advanced level,3.5,3.709500000000001,4.048013671410187
Introduction to Medical Software,Yale University,"['Software Testing', 'User Research', 'Software Design', 'Entrepreneurship', 'Medical Software']",https://www.coursera.org/learn/introduction-to-medical-software,Intermediate level,4.7,4.65150000000001,4.558392309724389
Engineering of Structures: Response of Structures,Dartmouth College,[],https://www.coursera.org/learn/engineering-of-structures-response-of-structures,Beginner level,4.9,4.446999999999991,4.461906283313728
Finance for Non-Financial Professionals,"University of California, Irvine","['Accounting', 'Financial Ratio', 'Financial Statement', 'Finance']",https://www.coursera.org/learn/finance-for-non-finance-managers,None,4.6,4.392000000000013,4.69487110158193
Nutrition and Weight Management for Fitness Professionals,National Academy of Sports Medicine,"['Nutrition', 'Energy Balance', 'Energy balance', 'Body composition', 'Diet planning', 'Weight management', 'Weight Management']",https://www.coursera.org/learn/nutrition-and-weight-management-for-fitness-professionals,Beginner level,0.0,1.6665,1.0178274028433183
Advanced Data Visualization with Tableau,SkillUp EdTech,"['Data Preparation', 'Data Analysis', 'Dashboard', 'Tableau Software', 'Data Visualization']",https://www.coursera.org/learn/advanced-data-visualization-with-tableau,Intermediate level,4.8,4.2379999999999916,4.276927734481386
"Managing, Describing, and Analyzing Data",University of Colorado Boulder,"['analyzing data', 'describing data', 'graphing data', 'using R']",https://www.coursera.org/learn/managing-describing-analyzing-data,Beginner level,4.6,4.150000000000009,4.365505048447206
Sports and Society,Duke University,[],https://www.coursera.org/learn/sports-society,None,4.8,4.076499999999993,4.545206417432212
